,D,P,mode,ppn,time,"(P, ppn)"
76,2048.0,4.0,0.0,1.0,0.19678,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.189854,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.008389,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.004766,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,0.085767,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,0.058677,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,0.309549,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,0.500061,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,1.069266,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,1.133378,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,0.506101,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,0.393731,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,4.276882,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,7.259554,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,4.101766,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,2.457481,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,8.238657,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,6.268068,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,4.83984,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,5.688949,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,0.003762,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,0.002277,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,0.0301,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,0.030779,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,0.199497,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,0.187665,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,0.270098,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,0.23764,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,0.66891,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,0.546607,"(4.0, 8.0)"
106,2048.0,4.0,0.0,8.0,1.256601,"(4.0, 8.0)"
107,2048.0,4.0,1.0,8.0,2.325281,"(4.0, 8.0)"
108,16.0,16.0,0.0,1.0,5.229944,"(16.0, 1.0)"
109,16.0,16.0,1.0,1.0,5.731217,"(16.0, 1.0)"
110,256.0,16.0,0.0,1.0,2.913143,"(16.0, 1.0)"
111,256.0,16.0,1.0,1.0,1.526358,"(16.0, 1.0)"
112,2048.0,16.0,0.0,1.0,1.769786,"(16.0, 1.0)"
113,2048.0,16.0,1.0,1.0,3.289174,"(16.0, 1.0)"
114,16.0,16.0,0.0,8.0,2.702269,"(16.0, 8.0)"
115,16.0,16.0,1.0,8.0,1.356055,"(16.0, 8.0)"
116,256.0,16.0,0.0,8.0,2.324618,"(16.0, 8.0)"
117,256.0,16.0,1.0,8.0,1.692016,"(16.0, 8.0)"
118,2048.0,16.0,0.0,8.0,13.447995,"(16.0, 8.0)"
119,2048.0,16.0,1.0,8.0,16.104584,"(16.0, 8.0)"
120,16.0,4.0,0.0,1.0,0.00337,"(4.0, 1.0)"
121,16.0,4.0,1.0,1.0,0.002333,"(4.0, 1.0)"
122,256.0,4.0,0.0,1.0,0.029506,"(4.0, 1.0)"
123,256.0,4.0,1.0,1.0,0.033236,"(4.0, 1.0)"
124,2048.0,4.0,0.0,1.0,0.203263,"(4.0, 1.0)"
125,2048.0,4.0,1.0,1.0,0.185483,"(4.0, 1.0)"
126,16.0,4.0,0.0,8.0,0.025773,"(4.0, 8.0)"
127,16.0,4.0,1.0,8.0,0.011771,"(4.0, 8.0)"
128,256.0,4.0,0.0,8.0,0.373675,"(4.0, 8.0)"
129,256.0,4.0,1.0,8.0,0.285883,"(4.0, 8.0)"
130,2048.0,4.0,0.0,8.0,0.297613,"(4.0, 8.0)"
131,2048.0,4.0,1.0,8.0,0.319558,"(4.0, 8.0)"
132,16.0,16.0,0.0,1.0,0.276163,"(16.0, 1.0)"
133,16.0,16.0,1.0,1.0,0.31124,"(16.0, 1.0)"
134,256.0,16.0,0.0,1.0,0.859587,"(16.0, 1.0)"
135,256.0,16.0,1.0,1.0,0.772753,"(16.0, 1.0)"
136,2048.0,16.0,0.0,1.0,1.401397,"(16.0, 1.0)"
137,2048.0,16.0,1.0,1.0,2.218544,"(16.0, 1.0)"
138,16.0,16.0,0.0,8.0,2.28207,"(16.0, 8.0)"
139,16.0,16.0,1.0,8.0,1.560275,"(16.0, 8.0)"
140,256.0,16.0,0.0,8.0,6.959055,"(16.0, 8.0)"
141,256.0,16.0,1.0,8.0,5.151386,"(16.0, 8.0)"
142,2048.0,16.0,0.0,8.0,9.143006,"(16.0, 8.0)"
143,2048.0,16.0,1.0,8.0,11.411597,"(16.0, 8.0)"
144,16.0,4.0,0.0,1.0,0.002944,"(4.0, 1.0)"
145,16.0,4.0,1.0,1.0,0.002173,"(4.0, 1.0)"
146,256.0,4.0,0.0,1.0,0.039433,"(4.0, 1.0)"
