,D,P,mode,ppn,time,"(P, ppn)"
221,2048.0,4.0,1.0,1.0,0.351773,"(4.0, 1.0)"
222,16.0,4.0,0.0,8.0,0.004089,"(4.0, 8.0)"
223,16.0,4.0,1.0,8.0,0.008563,"(4.0, 8.0)"
224,256.0,4.0,0.0,8.0,0.061216,"(4.0, 8.0)"
225,256.0,4.0,1.0,8.0,0.072328,"(4.0, 8.0)"
226,2048.0,4.0,0.0,8.0,0.417567,"(4.0, 8.0)"
227,2048.0,4.0,1.0,8.0,0.514806,"(4.0, 8.0)"
228,16.0,16.0,0.0,1.0,1.303573,"(16.0, 1.0)"
229,16.0,16.0,1.0,1.0,0.536561,"(16.0, 1.0)"
230,256.0,16.0,0.0,1.0,4.382445,"(16.0, 1.0)"
231,256.0,16.0,1.0,1.0,3.927723,"(16.0, 1.0)"
232,2048.0,16.0,0.0,1.0,1.036825,"(16.0, 1.0)"
233,2048.0,16.0,1.0,1.0,1.152458,"(16.0, 1.0)"
234,16.0,16.0,0.0,8.0,0.274904,"(16.0, 8.0)"
235,16.0,16.0,1.0,8.0,0.511177,"(16.0, 8.0)"
236,256.0,16.0,0.0,8.0,1.160788,"(16.0, 8.0)"
237,256.0,16.0,1.0,8.0,1.193192,"(16.0, 8.0)"
238,2048.0,16.0,0.0,8.0,6.228817,"(16.0, 8.0)"
239,2048.0,16.0,1.0,8.0,6.589962,"(16.0, 8.0)"
